address,rent,beds,baths,sqft,url,neighborhood,dishwasher,in_unit_laundry,amenities,open_house,open_house_start,open_house_end,status,first_seen_at,last_seen_at,notes,source
"10 Hanover Square #19X, New York, NY",$3849,0,1,431,https://streeteasy.com/building/10-hanover-square-new_york/19x,Financial District,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"10 Hanover Square #23H, New York, NY",$3917,0,1,419,https://streeteasy.com/building/10-hanover-square-new_york/23h,Financial District,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"10 Hanover Square #23X, New York, NY",$3885,0,1,431,https://streeteasy.com/building/10-hanover-square-new_york/23x,Financial District,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"10 Hanover Square #8X, New York, NY",$3721,0,1,431,https://streeteasy.com/building/10-hanover-square-new_york/08x,Financial District,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"100 Malcolm X Boulevard #3B, Brooklyn, NY",$3204,2,1,,https://streeteasy.com/building/100-malcolm-x-boulevard-brooklyn/3b,,,,,,,,active,2026-07-29,2026-07-29,base $3495; using net effective rent,streeteasy_html
"104 Fleet Place #12D, New York, NY",$3600,0,1,,https://streeteasy.com/building/the-fleet-104-fleet-place/12d,,,,new development,Thu Jul 30 · 11:00 AM–6:30 PM,2026-07-30T11:00,2026-07-30T18:30,active,2026-07-28,2026-07-29,base $3900; using net effective rent,streeteasy_html
"104 Fleet Place #4B, New York, NY",$3462,0,1,,https://streeteasy.com/building/the-fleet-104-fleet-place/4b,,,,new development,Thu Jul 30 · 11:00 AM–6:30 PM,2026-07-30T11:00,2026-07-30T18:30,active,2026-07-28,2026-07-29,base $3750; using net effective rent,streeteasy_html
"1042 Atlantic Avenue #11L, Brooklyn, NY",$3115,0,1,,https://streeteasy.com/building/prosper-brooklyn/11l,,,,new development,Thu Jul 30 · 2:00 PM–7:00 PM,2026-07-30T14:00,2026-07-30T19:00,active,2026-07-27,2026-07-29,base $3560; using net effective rent,streeteasy_html
"1042 Atlantic Avenue #13A, Brooklyn, NY",$3710,1,1,,https://streeteasy.com/building/prosper-brooklyn/13a,,,,new development,Sun Jul 25 · 11:00 AM–4:00 PM,2027-07-25T11:00,2027-07-25T16:00,active,2026-07-27,2026-07-29,base $4240; using net effective rent,streeteasy_html
"1042 Atlantic Avenue #5P, Brooklyn, NY",$3138,0,1,,https://streeteasy.com/building/prosper-brooklyn/5p,,,,new development,Thu Jul 30 · 2:00 PM–7:00 PM,2026-07-30T14:00,2026-07-30T19:00,active,2026-07-29,2026-07-29,base $3530; using net effective rent,streeteasy_html
"1042 Atlantic Avenue #9M, Brooklyn, NY",$3634,1,1,,https://streeteasy.com/building/prosper-brooklyn/9m,,,,new development,Thu Jul 30 · 2:00 PM–7:00 PM,2026-07-30T14:00,2026-07-30T19:00,active,2026-07-27,2026-07-29,base $4255; using net effective rent,streeteasy_html
"1042 President Street PENTHOUSE-G, New York, NY",$2900,0,1,,https://streeteasy.com/building/prospect-pointe/penthouse-g,Crown Heights,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"1057 Atlantic Avenue #1022, Brooklyn, NY",$3552,1,1,,https://streeteasy.com/building/atlanticbk-1057-atlantic-avenue-brooklyn/1022,,,,new development,Thu Jul 30 · 10:00 AM–6:00 PM,2026-07-30T10:00,2026-07-30T18:00,active,2026-07-27,2026-07-29,base $4125; using net effective rent,streeteasy_html
